numero_declaration,date_declaration,date_envoi_mail_info,date_envoi_mail_relance,date_prorogation,statut_actif,date_desactivation,id_declarant,guid,Civilite_declarant,nom_declarant,prenom_declarant,adresse_mail_declarant,adresse_declarant,cp_declarant,ville_declarant,Pays_declarant,societe_declarant,numero_siret_declarant,id_declaration,id_demande_guichet,compte_parisien,Type_residence,totalite_local,numero_voirie,indice_repetition,adresse_meuble,gps_meuble,id_poi_adresse_meuble,cp_meuble,etage,batiment,escalier,numero_appart,numero_invariant,nombre_pieces,nombre_lits,partie_local,date_classement,Niveau_classement,autre_reconnaissance,code_rivoli,adresseNormalise,Identification_parcelle,Quartier,IDBA
7510100000001,05/01/2023,06/01/2023,,,True,,1,a1b2c3d4-e5f6-7890-1234-567890aaaaaa,Monsieur,BERTRAND,Paul,paul.bertrand@example.com,5 rue de la Paix,75002,PARIS,France,,11111111111111,1,111111,True,Principale,True,5,,5 rue de la Paix,,,75002,2,,A,1,,2,2,True,10/01/2023,3 étoiles,,1001,5 RUE DE LA PAIX,751020AA0001,2,10001
7510100000002,12/01/2023,13/01/2023,,,True,,2,b2c3d4e5-f6a7-8901-2345-67890bbbbb,Madame,ROUX,Alice,alice.roux@example.com,15 avenue Montaigne,75008,PARIS,France,,22222222222222,2,222222,True,Secondaire,True,15,,15 avenue Montaigne,,,75008,4,,B,2,,3,4,True,15/02/2023,4 étoiles,Label Qualité,2002,15 AVENUE MONTAIGNE,751080BB0002,8,20002
7510100000003,20/01/2023,21/01/2023,,,True,,3,c3d4e5f6-a7b8-9012-3456-7890ccccccc,Monsieur,LECLERC,Thomas,thomas.leclerc@example.com,20 rue du Louvre,75001,PARIS,France,,33333333333333,3,333333,True,Principale,True,20,,20 rue du Louvre,,,75001,1,,C,3,,1,1,True,,Non classé,,3003,20 RUE DU LOUVRE,751010CC0003,1,30003
7510100000004,28/01/2023,29/01/2023,,,True,,4,d4e5f6a7-b8c9-0123-4567-890ddd,Madame,MOREAU,Julie,julie.moreau@example.com,30 rue de Rivoli,75004,PARIS,France,,44444444444444,4,444444,True,Secondaire,True,30,,30 rue de Rivoli,,,75004,3,,D,4,,2,3,True,01/03/2023,5 étoiles,Paris Charmes,4004,30 RUE DE RIVOLI,751040DD0004,4,40004
7510100000005,05/02/2023,06/02/2023,,,True,,5,e5f6a7b8-c9d0-1234-5678-90000e,Monsieur,FOURNIER,Lucas,lucas.fournier@example.com,40 avenue de l'Opéra,75009,PARIS,France,,55555555555555,5,555555,True,Principale,True,40,,40 avenue de l'Opéra,,,75009,5,,E,5,,4,5,True,15/03/2023,4 étoiles,,5005,40 AVENUE DE L OPERA,751090EE0005,9,50005
7510100000006,12/02/2023,13/02/2023,,,True,,6,f6a7b8c9-d0e1-2345-6789-0fffff,Madame,CHEVALIER,Sophie,sophie.chevalier@example.com,50 rue Montmartre,75002,PARIS,France,,66666666666666,6,666666,True,Secondaire,True,50,,50 rue Montmartre,,,75002,2,,F,6,,2,3,True,20/03/2023,3 étoiles,Qualité Paris,6006,50 RUE MONTMARTRE,751020FF0006,2,60006
7510100000007,20/02/2023,21/02/2023,,,True,,7,a7b8c9d0-e1f2-3456-7890-77777g,Monsieur,GARCIA,Antoine,antoine.garcia@example.com,60 boulevard Haussmann,75009,PARIS,France,,77777777777777,7,777777,True,Principale,True,60,,60 boulevard Haussmann,,,75009,6,,G,7,,3,4,True,,Non classé,,7007,60 BOULEVARD HAUSSMANN,751090GG0007,9,70007
7510100000008,28/02/2023,01/03/2023,,,True,,8,b8c9d0e1-f2a3-4567-8901-88888h,Madame,DUPUIS,Manon,manon.dupuis@example.com,70 rue de Rennes,75006,PARIS,France,,88888888888888,8,888888,True,Secondaire,True,70,,70 rue de Rennes,,,75006,4,,H,8,,2,3,True,05/04/2023,4 étoiles,Paris Prestige,8008,70 RUE DE RENNES,751060HH0008,6,80008
7510100000009,05/03/2023,06/03/2023,,,True,,9,c9d0e1f2-a3b4-5678-9012-99999i,Monsieur,LAMBERT,Hugo,hugo.lambert@example.com,80 avenue des Ternes,75017,PARIS,France,,99999999999999,9,999999,True,Principale,True,80,,80 avenue des Ternes,,,75017,7,,I,9,,4,5,True,10/04/2023,5 étoiles,,9009,80 AVENUE DES TERNES,751170II0009,17,90009
7510100000010,12/03/2023,13/03/2023,,,True,,10,d0e1f2a3-b4c5-6789-0123-00000j,Madame,GILLET,Chloé,chloe.gillet@example.com,90 rue de Belleville,75020,PARIS,France,,10101010101010,10,101010,True,Secondaire,True,90,,90 rue de Belleville,,,75020,3,,J,10,,2,3,True,15/04/2023,3 étoiles,Paris Confort,1010,90 RUE DE BELLEVILLE,751200JJ0010,20,10010
7510100000011,20/03/2023,21/03/2023,,,True,,11,e1f2a3b4-c5d6-7890-1234-11111k,Monsieur,FABRE,Nathan,nathan.fabre@example.com,100 rue de Richelieu,75002,PARIS,France,,12121212121212,11,121212,True,Principale,True,100,,100 rue de Richelieu,,,75002,5,,K,11,,4,5,True,,Non classé,,1111,100 RUE DE RICHELIEU,751020KK0011,2,11011
7510100000012,28/03/2023,29/03/2023,,,True,,12,f2a3b4c5-d6e7-8901-2345-22222l,Madame,BLANC,Camille,camille.blanc@example.com,110 avenue des Champs-Élysées,75008,PARIS,France,,13131313131313,12,131313,True,Secondaire,True,110,,110 avenue des Champs-Élysées,,,75008,2,,L,12,,2,3,True,20/04/2023,4 étoiles,Paris Séjour,1212,110 AVENUE DES CHAMPS ELYSEES,751080LL0012,8,12012
7510100000013,05/04/2023,06/04/2023,,,True,,13,a3b4c5d6-e7f8-9012-3456-33333m,Monsieur,CLEMENT,Louis,louis.clement@example.com,120 rue du Faubourg Saint-Honoré,75008,PARIS,France,,14141414141414,13,141414,True,Principale,True,120,,120 rue du Faubourg Saint-Honoré,,,75008,6,,M,13,,3,4,True,25/04/2023,5 étoiles,,1313,120 RUE DU FAUBOURG SAINT HONORE,751080MM0013,8,13013
7510100000014,12/04/2023,13/04/2023,,,True,,14,b4c5d6e7-f8a9-0123-4567-44444n,Madame,RENARD,Léa,lea.renard@example.com,130 rue de la Pompe,75016,PARIS,France,,15151515151515,14,151515,True,Secondaire,True,130,,130 rue de la Pompe,,,75016,4,,N,14,,2,3,True,30/04/2023,3 étoiles,Paris Détente,1414,130 RUE DE LA POMPE,751160NN0014,16,14014
7510100000015,20/04/2023,21/04/2023,,,True,,15,c5d6e7f8-a9b0-1234-5678-55555o,Monsieur,LEMAIRE,Arthur,arthur.lemaire@example.com,140 rue de Rivoli,75001,PARIS,France,,16161616161616,15,161616,True,Principale,True,140,,140 rue de Rivoli,,,75001,7,,O,15,,4,5,True,,Non classé,,1515,140 RUE DE RIVOLI,751010OO0015,1,15015
7510100000016,28/04/2023,29/04/2023,,,True,,16,d6e7f8a9-b0c1-2345-6789-66666p,Madame,PICARD,Emma,emma.picard@example.com,150 boulevard Saint-Germain,75006,PARIS,France,,17171717171717,16,171717,True,Secondaire,True,150,,150 boulevard Saint-Germain,,,75006,3,,P,16,,2,3,True,05/05/2023,4 étoiles,Paris Élégance,1616,150 BOULEVARD SAINT GERMAIN,751060PP0016,6,16016
7510100000017,05/05/2023,06/05/2023,,,True,,17,e7f8a9b0-c1d2-3456-7890-77777q,Monsieur,ROUSSEAU,Adam,adam.rousseau@example.com,160 avenue Victor Hugo,75016,PARIS,France,,18181818181818,17,181818,True,Principale,True,160,,160 avenue Victor Hugo,,,75016,5,,Q,17,,4,5,True,10/05/2023,5 étoiles,,1717,160 AVENUE VICTOR HUGO,751160QQ0017,16,17017
7510100000018,12/05/2023,13/05/2023,,,True,,18,f8a9b0c1-d2e3-4567-8901-88888r,Madame,GERARD,Clara,clara.gerard@example.com,170 rue de Vaugirard,75015,PARIS,France,,19191919191919,18,191919,True,Secondaire,True,170,,170 rue de Vaugirard,,,75015,2,,R,18,,2,3,True,15/05/2023,3 étoiles,Paris Calme,1818,170 RUE DE VAUGIRARD,751150RR0018,15,18018
7510100000019,20/05/2023,21/05/2023,,,True,,19,a9b0c1d2-e3f4-5678-9012-99999s,Monsieur,MARTIN,Gabriel,gabriel.martin@example.com,180 rue du Temple,75003,PARIS,France,,20202020202020,19,202020,True,Principale,True,180,,180 rue du Temple,,,75003,6,,S,19,,4,5,True,,Non classé,,1919,180 RUE DU TEMPLE,751030SS0019,3,19019
7510100000020,28/05/2023,29/05/2023,,,True,,20,b0c1d2e3-f4a5-6789-0123-00000t,Madame,THOMAS,Inès,ines.thomas@example.com,190 avenue de Wagram,75017,PARIS,France,,21212121212121,20,212121,True,Secondaire,True,190,,190 avenue de Wagram,,,75017,4,,T,20,,2,3,True,20/05/2023,4 étoiles,Paris Sérénité,2020,190 AVENUE DE WAGRAM,751170TT0020,17,20020
7510100000021,05/06/2023,06/06/2023,,,True,,21,c1d2e3f4-a5b6-7890-1234-11111u,Monsieur,BERNARD,Raphaël,raphael.bernard@example.com,200 rue de la Convention,75015,PARIS,France,,22222222222222,21,222222,True,Principale,True,200,,200 rue de la Convention,,,75015,7,,U,21,,4,5,True,25/05/2023,5 étoiles,,2121,200 RUE DE LA CONVENTION,751150UU0021,15,21021
7510100000022,12/06/2023,13/06/2023,,,True,,22,d2e3f4a5-b6c7-8901-2345-22222v,Madame,PETIT,Charlotte,charlotte.petit@example.com,210 rue Lafayette,75010,PARIS,France,,23232323232323,22,232323,True,Secondaire,True,210,,210 rue Lafayette,,,75010,3,,V,22,,2,3,True,30/05/2023,3 étoiles,Paris Douceur,2222,210 RUE LAFAYETTE,751100VV0022,10,22022
7510100000023,20/06/2023,21/06/2023,,,True,,23,e3f4a5b6-c7d8-9012-3456-33333w,Monsieur,ROBERT,Valentin,valentin.robert@example.com,220 boulevard Voltaire,75011,PARIS,France,,24242424242424,23,242424,True,Principale,True,220,,220 boulevard Voltaire,,,75011,5,,W,23,,4,5,True,,Non classé,,2323,220 BOULEVARD VOLTAIRE,751110WW0023,11,23023
7510100000024,28/06/2023,29/06/2023,,,True,,24,f4a5b6c7-d8e9-0123-4567-44444x,Madame,DURAND,Louise,louise.durand@example.com,230 rue de Tolbiac,75013,PARIS,France,,25252525252525,24,252525,True,Secondaire,True,230,,230 rue de Tolbiac,,,75013,2,,X,24,,2,3,True,05/06/2023,4 étoiles,Paris Harmonie,2424,230 RUE DE TOLBIAC,751130XX0024,13,24024
